m,corr,a,wtrig,sigmal,gammanull,alpha,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.2,0.5,-0.25,-1,0,0.5,0.1,1,1,2.005617323178113,0.3921189450412366,0.6920459545649986,0.38384131967210167,2.0193271931493655
0.8,0.2,0.5,-0.25,-1,0,0.75,0.1,1,1,2.9335865058419017,0.5001973400168553,0.6514111740947327,0.4941782673886825,2.9420470483601098
0.8,0.2,0.5,-0.25,-0.8,0,0.25,0.1,1,1,1.499949542213918,0.3323364736963809,0.7491317262267448,0.32165177262751415,1.5166042558848858
0.8,0.2,0.5,-0.25,-0.8,0,0.5,0.1,1,1,2.0174493685915653,0.38732991690098273,0.71037843107287,0.3785265534544275,2.0305143296718597
0.8,0.2,0.5,-0.25,-0.8,0,0.75,0.1,1,1,2.950323738519053,0.49739184840382694,0.6720755159972996,0.490939830321238,2.9588208794633726
0.8,0.2,0.5,-0.25,-0.6,0,0.25,0.1,1,1,1.4721928974359013,0.3259653401455618,0.766810818867315,0.3146440171667337,1.4877298399806023
0.8,0.2,0.5,-0.25,-0.6,0,0.5,0.1,1,1,2.020029555580078,0.3807671306687885,0.732106598226426,0.37130051443078044,2.0319832861423492
0.8,0.2,0.5,-0.25,-0.6,0,0.75,0.1,1,1,2.9652185378365052,0.49276851804118393,0.6977547826854308,0.48573752767498013,2.973342092294419
0.8,0.2,0.5,-0.25,-0.3999999999999999,0,0.25,0.1,1,1,1.4157280224519957,0.31868819201530413,0.7863293098995656,0.3066312184205596,1.429069548384509
0.8,0.2,0.5,-0.25,-0.3999999999999999,0,0.5,0.1,1,1,2.004337181020845,0.3717838815321587,0.7577850246656155,0.3614732765040782,2.014347873685737
0.8,0.2,0.5,-0.25,-0.3999999999999999,0,0.75,0.1,1,1,2.9711501751401297,0.48520429936408227,0.7298396688035126,0.4773793919671364,2.9782126303762197
0.8,0.2,0.5,-0.25,-0.19999999999999996,0,0.25,0.1,1,1,1.3115221175096592,0.31116504745026763,0.8057827071246619,0.2983387441811582,1.320441223680973
0.8,0.2,0.5,-0.25,-0.19999999999999996,0,0.5,0.1,1,1,1.954111100763011,0.35965822889798993,0.7874463254513007,0.3482831024875623,1.960613135248423
0.8,0.2,0.5,-0.25,-0.19999999999999996,0,0.75,0.1,1,1,2.9528798716044773,0.47288332646024983,0.7699396301424349,0.4639410267862296,2.9576349883455517
0.8,0.2,0.5,-0.25,0,0,0.25,0.1,1,1,1.1359969324581336,0.30537190907832806,0.8191249933902677,0.2919880679382924,1.135996919125318
0.8,0.2,0.5,-0.25,0,0,0.5,0.1,1,1,1.8420157563551887,0.34404353555958206,0.8191250244686665,0.33140480523815025,1.8420157432556157
0.8,0.2,0.5,-0.25,0,0,0.75,0.1,1,1,2.878889655142878,0.4530373036850675,0.8191250927212624,0.4424986256029712,2.8788896203045855
0.8,0.2,0.5,-0.25,0.20000000000000018,0,0.25,0.1,1,1,0.898697510668081,0.30484558210496526,0.813781989157539,0.29164371383694004,0.884471863508382
0.8,0.2,0.5,-0.25,0.20000000000000018,0,0.5,0.1,1,1,1.6347658177362898,0.3263588035119095,0.8452843898630541,0.3125187383418721,1.6233972460031514
0.8,0.2,0.5,-0.25,0.20000000000000018,0,0.75,0.1,1,1,2.689486009298662,0.4223967849949346,0.8746802124210349,0.4096615776475349,2.6798179671168327
0.8,0.2,0.5,-0.25,0.40000000000000013,0,0.25,0.1,1,1,0.7098692066357764,0.31063478264007444,0.7867665297317382,0.2984530074720153,0.6873494051396847
0.8,0.2,0.5,-0.25,0.40000000000000013,0,0.5,0.1,1,1,1.344078604263546,0.31160405416161197,0.8509378380696103,0.2972954315914653,1.319207407534122
0.8,0.2,0.5,-0.25,0.40000000000000013,0,0.75,0.1,1,1,2.3083315939917437,0.3810882020151,0.9206030257204125,0.36594778870389866,2.281698778271675
0.8,0.2,0.5,-0.25,0.6000000000000001,0,0.25,0.1,1,1,0.6292774541589855,0.3184390659219808,0.7578262708896644,0.307306941146892,0.6073645688593388
0.8,0.2,0.5,-0.25,0.6000000000000001,0,0.5,0.1,1,1,1.0875397111008265,0.30486065709180893,0.8321918065644172,0.29109826757253443,1.0580222755664237
0.8,0.2,0.5,-0.25,0.6000000000000001,0,0.75,0.1,1,1,1.7835434089713507,0.3410364251592398,0.9251818469994088,0.32481179591059595,1.7426772937178607
