m,corr,a,wtrig,sigmal,gammanull,alpha,r,k,q,n,p,cl,sigma,sigmaw,l_i,u_i,gamma,u_noi,l_noi
0.8,0.4,0.06,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9058512842162478,0.9992155788110216,5.963866864491206,0.9992056330186879,0.9051277160644529
0.8,0.4,0.06,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9089252245950443,0.999210214782284,5.842146014706601,0.99920433019523,0.9094086647033688
0.8,0.4,0.06,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9055570144392424,0.999211231669596,5.708230711709427,0.9992056330186879,0.9051277160644529
0.8,0.4,0.16,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9130189064397292,0.9999999944691882,3.3850529881471227,0.9999999942656451,0.9144042968750008
0.8,0.4,0.16,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9021996546322398,0.9999999945300317,3.2598911787470692,0.9999999943434816,0.9010009765624993
0.8,0.4,0.16,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9132586116769157,0.9999999944119876,3.1669231709271233,0.9999999942656451,0.9144042968750008
0.8,0.4,0.16,-0.5,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9019567404006172,0.9999999944761029,3.0405986517883115,0.9999999943434816,0.9010009765624993
0.8,0.4,0.16,-1,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9136636877307078,0.9999999943518146,3.068891390453681,0.9999999942656451,0.9144042968750008
0.8,0.4,0.16,-1,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.901602949579534,0.9999999944211121,2.942213549243936,0.9999999943434816,0.9010009765624993
0.8,0.4,0.26,0,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.9225933794729987,0.9999999999999584,2.5207413725288705,0.9999999999999559,0.9218750000000014
0.8,0.4,0.26,0,0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.8945355717242311,0.9999999999999596,2.0184443834867194,0.9999999999999575,0.8937500000000007
0.8,0.4,0.26,-0.5,-0.5,0,0.5,4,500,0.5,1,1,100,5,1,0.920161403435391,0.9999999999999578,2.4943922574610626,0.9999999999999559,0.9218750000000014
